C1,C2,C3,C4,C5,C6,C7,I13,H12,H11,I14,I15,B8,B9,B10,I16,I17,I18,O19
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,1,Concrete/ciment,0,0,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,1,Concrete/ciment,0,0,1,0,1
0,0.06,2170.737127,32.24,0,1,0,1,2,0,1,0,1,Concrete/ciment,0,0,1,0,1
0,0.04,441.869344,15.77,0,0,2,1,1,0,1,0,1,Concrete/ciment,1,1,1,0,1
0,0.04,441.869344,15.77,0,0,2,1,1,0,1,0,1,Concrete/ciment,1,1,1,0,1
0,0.04,441.869344,15.77,0,0,2,1,1,0,1,0,1,Concrete/ciment,1,1,1,0,1
0,0.04,441.869344,15.77,0,0,2,1,1,0,1,0,1,Concrete/ciment,1,1,1,0,1
0,0.08,188.0134925,9.45,0,1,2,0,2,0,2,1,1,Concrete/ciment,1,0,0,0,0
2,2.15,3.4133484,24.74,2,1,2,0,1,1,4,2,1,Concrete/ciment,0,0,1,0,1
2,2.15,3.4133484,24.74,2,1,2,0,1,1,4,2,1,Concrete/ciment,0,0,1,0,1
2,0.37,69.3911764,24.58,0,0,2,0,1,1,4,1,1,Concrete/ciment,0,0,0,0,1
2,0.37,69.3911764,24.58,0,0,2,0,1,1,4,1,1,Concrete/ciment,0,0,1,0,1
2,0.27,2.3005762,87.05,0,0,2,0,1,0,0,2,1,Concrete/ciment,0,0,0,0,0
2,0.27,2.3005762,87.05,0,0,2,0,1,0,0,2,1,Concrete/ciment,0,0,0,0,0
2,0.27,2.3005762,87.05,0,0,2,0,1,0,0,2,1,Concrete/ciment,0,0,0,0,0
2,0.27,2.3005762,87.05,0,0,2,0,1,0,0,2,1,Concrete/ciment,0,0,0,0,0
2,0.27,2.3005762,87.05,0,0,2,0,1,0,0,2,1,Concrete/ciment,0,0,0,0,0
2,0.27,2.3005762,87.05,0,0,2,0,1,0,0,2,1,Concrete/ciment,0,0,0,0,0
2,0.53,19.791888,5.39,2,1,2,0,2,0,0,2,2,Concrete/ciment,1,0,0,1,0
2,0.53,19.791888,5.39,2,1,2,0,2,0,0,2,2,Concrete/ciment,1,0,1,1,1
2,0.53,19.791888,5.39,2,1,2,0,2,0,0,2,2,Concrete/ciment,1,0,1,1,1
2,0.53,19.791888,5.39,2,1,2,0,2,0,0,2,2,Concrete/ciment,0,0,0,0,0
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,0,0,0
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,1,1,0,0,1,1,Caisson,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,0,1,0,0,1,1,Concrete/ciment,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,0,1,0,0,1,1,Concrete/ciment,0,0,1,0,1
1,0.01,5457.25928,4.24,0,0,2,0,1,0,0,1,1,Concrete/ciment,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,0,1,0,0,1,1,Concrete/ciment,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,0,1,0,0,1,1,Concrete/ciment,0,0,1,2,1
1,0.01,5457.25928,4.24,0,0,2,0,1,0,0,1,1,Concrete/ciment,0,0,1,2,1
0,0.01,587.219031,12.07,0,1,2,0,2,0,2,3,2,Concrete/ciment,1,1,1,1,1
0,0.01,587.219031,12.07,0,1,2,0,2,0,2,3,2,Concrete/ciment,1,1,1,1,1
0,0.01,587.219031,12.07,0,1,2,0,2,0,2,3,2,Concrete/ciment,1,1,1,1,1
0,0.01,587.219031,12.07,0,1,2,0,2,0,2,3,2,Concrete/ciment,1,1,1,1,1
0,0.01,1258.465455,6.71,0,0,2,1,2,0,1,0,1,Concrete/ciment,1,0,1,0,1
0,0.01,1258.465455,6.71,0,0,2,1,2,0,1,0,1,Concrete/ciment,1,0,1,0,1
0,0.01,1258.465455,6.71,0,0,2,1,2,0,1,0,1,Concrete/ciment,1,0,1,0,1
0,0.07,47.7399534,61.48,0,0,2,1,1,0,0,0,1,Concrete/ciment,0,0,1,0,0
0,0.07,47.7399534,61.48,0,0,2,1,1,0,0,0,1,Concrete/ciment,1,0,1,0,1
0,0.04,116.9874618,24.43,0,1,1,0,2,0,0,0,1,Caisson,0,0,0,0,0
1,0.01,1840.32888,8.67,0,1,2,1,1,0,1,0,1,Concrete/ciment,1,0,0,0,0
1,0.01,1840.32888,8.67,0,1,2,1,1,0,1,0,1,Concrete/ciment,1,0,0,0,0
1,0.01,1840.32888,8.67,0,1,2,1,1,0,1,0,1,Concrete/ciment,1,0,0,0,0
1,0.01,1840.32888,8.67,0,1,2,1,1,0,1,0,1,Concrete/ciment,1,0,1,0,0
1,0.01,1840.32888,8.67,0,1,2,1,1,0,1,0,1,Concrete/ciment,1,0,0,0,0
2,0.17,38.6769516,37.79,2,1,2,0,1,1,1,2,1,Concrete/ciment,1,0,1,2,1
0,0.23,1165.422009,9.19,2,0,2,0,1,0,2,0,1,Caisson,1,1,0,1,1
0,0.23,1165.422009,9.19,2,0,2,0,1,0,2,0,1,Caisson,1,1,0,1,1
0,0.23,1165.422009,9.19,2,0,2,0,1,0,2,0,1,Caisson,1,1,0,1,1
0,0.23,1165.422009,9.19,2,0,2,0,1,0,2,0,1,Caisson,1,1,0,1,1
0,0.1,215.5393272,12.16,0,1,1,0,2,0,1,1,1,Concrete/ciment,1,0,1,0,1
0,0.1,215.5393272,12.16,0,1,1,0,2,0,1,1,1,Concrete/ciment,1,0,1,0,1
0,0.1,215.5393272,12.16,0,1,1,0,2,0,1,1,1,Concrete/ciment,1,0,1,0,1
0,0.1,215.5393272,12.16,0,1,1,0,2,0,1,1,1,Concrete/ciment,1,0,1,0,1
0,0.04,538.2427996,1.52,0,1,0,0,1,0,0,0,0,Caisson,0,1,0,1,1
0,0.04,538.2427996,1.52,0,1,0,0,1,0,0,0,0,Caisson,0,1,0,1,1
0,0.04,538.2427996,1.52,0,1,0,0,1,0,0,0,0,Caisson,0,1,0,1,1
0,0.04,538.2427996,1.52,0,1,0,0,1,0,0,0,0,Caisson,0,1,1,1,1
0,0.09,92.359366,42.99,0,1,2,0,2,0,2,2,0,Concrete/ciment,1,0,0,0,1
0,0.09,92.359366,42.99,0,1,2,0,2,0,2,2,0,Concrete/ciment,1,0,0,0,1
0,0.07,19.3752981,74.74,0,1,2,0,2,0,1,1,0,Concrete/ciment,1,1,1,0,1
0,0.12,117.9899656,27.27,0,0,2,0,2,0,2,3,1,Concrete/ciment,1,1,0,1,1
0,0.12,117.9899656,27.27,0,0,2,0,2,0,2,3,1,Concrete/ciment,1,1,0,1,1
0,0.13,190.992713,26.54,0,0,0,0,1,0,0,2,0,Concrete/ciment,1,0,0,1,1
